round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_hidden_layer,optimizer,second_hidden_layer
100,0.15260612964630127,0.9501991868019104,0.8075332045555115,0.8341067433357239,relu,32,0.3,100,10,RMSprop,2
100,0.1718810349702835,0.9462151527404785,1.2263046503067017,0.8155452609062195,relu,32,0.3,100,10,RMSprop,4
100,0.1885434091091156,0.9317728877067566,0.8880056142807007,0.7703016400337219,relu,32,0.3,100,10,RMSprop,6
100,0.428344190120697,0.8177290558815002,0.9818362593650818,0.718097448348999,relu,32,0.3,100,8,Adam,2
100,0.45104557275772095,0.81324702501297,0.99071204662323,0.6450116038322449,relu,32,0.3,100,8,Adam,4
100,0.45104578137397766,0.8027888536453247,0.9619261026382446,0.7041763067245483,relu,32,0.3,100,8,Adam,6
100,0.15565897524356842,0.945219099521637,1.074882984161377,0.8039442896842957,relu,32,0.3,100,8,RMSprop,2
100,0.14937227964401245,0.9462151527404785,0.899807870388031,0.8259860873222351,relu,32,0.3,100,8,RMSprop,4
100,0.17578743398189545,0.9317728877067566,0.8594864010810852,0.8352668285369873,relu,32,0.3,100,8,RMSprop,6
100,0.664569616317749,0.7564740777015686,0.9936262369155884,0.70649653673172,relu,32,0.3,100,6,Adam,2
100,0.2743673324584961,0.8989043831825256,0.7347507476806641,0.7981438636779785,relu,32,0.3,100,6,Adam,4
100,0.2722958028316498,0.887948215007782,0.8720152378082275,0.752900242805481,relu,32,0.3,100,6,Adam,6
100,0.1826070100069046,0.9347609281539917,0.8018196821212769,0.8155452609062195,relu,32,0.3,100,6,RMSprop,2
100,0.16763518750667572,0.9432271122932434,0.9993952512741089,0.8248260021209717,relu,32,0.3,100,6,RMSprop,4
100,0.1724776327610016,0.9467131495475769,1.3639106750488281,0.7900232076644897,relu,32,0.3,100,6,RMSprop,6
20,0.9321502447128296,0.5343625545501709,0.7073061466217041,0.6624130010604858,relu,32,0.5,20,10,Adam,2
20,0.8986107110977173,0.5348605513572693,0.7261781692504883,0.660092830657959,relu,32,0.5,20,10,Adam,4
20,0.7959792613983154,0.5811753273010254,0.6984118819236755,0.7053364515304565,relu,32,0.5,20,10,Adam,6
20,0.7694861888885498,0.6344621777534485,0.7278171181678772,0.6763340830802917,relu,32,0.5,20,10,RMSprop,2
20,0.7987650036811829,0.6215139627456665,0.696128785610199,0.6763340830802917,relu,32,0.5,20,10,RMSprop,4
20,0.8000770211219788,0.6394422054290771,0.6962412595748901,0.6670533418655396,relu,32,0.5,20,10,RMSprop,6
20,0.8534216284751892,0.5961155295372009,0.783939778804779,0.6508120894432068,relu,32,0.5,20,8,Adam,2
20,0.837360143661499,0.5896414518356323,0.8080533742904663,0.5777262449264526,relu,32,0.5,20,8,Adam,4
